,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Nexecs,PopSize,ExecTime,fitness
64,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015918340000000697,2063.564385623295
65,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001548309999999553,1221.8870054944643
66,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015519690000003195,983.3891760747856
67,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015783750000002428,749.0563152224128
68,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015034040000001525,689.763189259362
69,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016190709999994723,779.9792211491982
70,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017991209999994595,103.9010113496148
71,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015509089999996561,650.8469967700411
72,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015268830000003675,428.8537807179592
73,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015444989999995329,394.3646631276697
74,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001545649999999732,301.67649729858755
75,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016203189999997036,365.24341699896877
76,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018696980000001417,225.67676469276947
77,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018317799999998385,624.5232701922207
78,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015420429999997154,759.5530206786477
79,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0014880259999996426,1093.6750497366343
80,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016434770000000043,854.9744107856944
81,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015709739999998362,444.378129968385
82,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0014857529999998675,664.560947241022
83,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001572215999999571,221.96525119473063
