,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Ngen,PopSize,ExecTime,fitness
0,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2368553799999997,0.00018913971942247088
1,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2866932100000001,6.710363839701472e-06
2,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.206738648,2.4362828444424167e-05
3,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2643584910000003,0.00048413880518083374
4,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2196596059999996,0.0008314595224483412
5,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.219347826,4.962829372701094e-05
6,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2474568260000005,3.436319639504859e-06
7,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.245911242,8.606676241029732e-05
8,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.236771129000001,1.3072559745808121e-06
9,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2374958189999994,0.002480171737563097
10,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2350000429999977,0.0008132060963106369
11,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2311540570000012,0.00012855162216496296
12,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.1627992939999992,1.6336027202967784e-05
13,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.167510323000002,0.00031305526099423275
14,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.246303397000002,0.001599928121809313
15,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.1860721769999998,0.0001522912659801534
16,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2584313289999969,0.0001360419886715647
17,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2518913520000012,4.4212888496986125e-06
18,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2626164650000007,0.0001311062464495194
19,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.221128832999998,1.1658428036298574e-05
20,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2088396889999977,2.3073852322141875e-06
21,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2265308340000018,7.933875974863724e-05
22,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2235030869999974,4.6013181069781695e-06
23,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2090769639999976,7.080173679341328e-06
24,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2221577010000004,0.00012359078410284496
25,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2548226830000004,0.0007327440955346987
26,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2295761549999966,2.61967812331676e-05
27,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.21694746,0.00017738994726812507
28,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2268134629999992,6.754108250461854e-05
29,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2185376250000033,2.3091474865566397e-06
30,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2494277190000034,6.586087768845061e-05
31,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2566959950000012,0.00016468399833691194
32,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2376167100000046,0.0006523998093665995
33,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2349590689999985,5.922351557430261e-05
34,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2426665630000002,5.91932697169284e-06
35,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.227122266000002,0.0012331520483659375
36,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2241455179999932,0.0003560400372695227
37,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2013268890000006,0.0005935615264043292
38,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2011402499999946,1.2535272880143111e-05
39,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.206264908999998,2.6480497350434007e-06
40,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.204205265000006,0.00039887190689924523
41,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2250868510000004,2.0139870482438482e-06
42,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2305192130000009,4.3618875622541964e-08
43,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.238088009000002,0.005827241861261712
44,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2462945869999942,9.596697965719159e-05
45,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2271748900000006,1.5494048080100242e-05
46,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2158627860000024,3.0511517376652364e-05
47,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.1987715670000014,0.0002260024124325355
48,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2060091079999964,5.6184046080431926e-05
49,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2247403650000024,1.2579364778275703e-05
50,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2214693359999984,2.2038673103352835e-05
51,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2302203429999992,5.487505750423338e-05
52,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.254751117000012,3.949845199713309e-05
53,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2027210349999962,7.999863962382392e-06
54,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.207408048000005,0.0008747691736843421
55,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2061035530000055,0.00012470646823992126
56,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2198264590000036,0.0005114911629906516
57,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2236064380000045,2.7164187580197563e-05
58,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.212193776999996,0.00016158239295727128
59,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2099050089999963,5.641198660200075e-06
60,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2044995300000068,0.00041086886419705593
61,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2051328350000006,1.2358086776131927e-05
62,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2212218380000053,2.097343276830088e-08
63,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.1994509710000045,0.002032192441173919
64,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.22258977300001,3.485732567298783e-05
65,rastrigin,1,uniformsample,onepoint,generational,elitism,300,100,1.2101569330000075,4.1673262975550074e-05
