pygame 2.3.0 (SDL 2.24.2, Python 3.10.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Number of generations: 23
Real time spent: 4.15018s
CPU time spent: 4.15012s
Number of fitness evaluations: 2191
Best fitness: 6.532679501993809
         2576315 function calls (2478219 primitive calls) in 8.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.207    0.207 rules.py:15(_init_casting_rules)
       44    0.000    0.000    0.206    0.005 castgraph.py:119(insert_rule)
     1166    0.003    0.000    0.205    0.000 inspect.py:3252(signature)
13356/5445    0.081    0.000    0.203    0.000 copy.py:66(copy)
       44    0.027    0.001    0.203    0.005 castgraph.py:92(propagate)
     1166    0.003    0.000    0.202    0.000 inspect.py:2998(from_callable)
     2398    0.012    0.000    0.202    0.000 ImgFuncs.py:81(repair_solution)
1631/1176    0.018    0.000    0.201    0.000 inspect.py:2375(_signature_from_callable)
      925    0.014    0.000    0.197    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.194    0.194 rcsetup.py:1(<module>)
     1123    0.003    0.000    0.189    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      213    0.094    0.000    0.186    0.001 artist.py:1457(<listcomp>)
1124/1123    0.011    0.000    0.186    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2398    0.010    0.000    0.183    0.000 <__array_function__ internals>:177(clip)
        4    0.000    0.000    0.178    0.045 decorators.py:1(<module>)
      386    0.091    0.000    0.177    0.000 doccer.py:180(indentcount_lines)
     5304    0.019    0.000    0.177    0.000 re.py:197(search)
     4965    0.020    0.000    0.175    0.000 fromnumeric.py:51(_wrapfunc)
      132    0.001    0.000    0.173    0.001 _docstring.py:38(__call__)
      337    0.007    0.000    0.171    0.001 vector_operator_functions.py:48(mutateRand)
        1    0.000    0.000    0.170    0.170 stencil.py:1(<module>)
  122/111    0.001    0.000    0.169    0.002 _docstring.py:79(__call__)
     1520    0.032    0.000    0.165    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     2398    0.008    0.000    0.164    0.000 fromnumeric.py:2085(clip)
1100/1083    0.007    0.000    0.162    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   107482    0.133    0.000    0.156    0.000 {built-in method builtins.isinstance}
  165/133    0.001    0.000    0.151    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
  165/133    0.008    0.000    0.150    0.001 {built-in method _imp.exec_dynamic}
     2637    0.019    0.000    0.147    0.000 Individual.py:29(__copy__)
     2261    0.083    0.000    0.146    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
   126430    0.146    0.000    0.146    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.146    0.049 registry.py:1(<module>)
     6573    0.025    0.000    0.146    0.000 <__array_function__ internals>:177(diff)
        1    0.000    0.000    0.144    0.144 dispatcher.py:1(<module>)
     2398    0.007    0.000    0.143    0.000 {method 'clip' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.140    0.006 castgraph.py:131(unsafe)
        1    0.000    0.000    0.139    0.139 compiler.py:1(<module>)
        1    0.000    0.000    0.138    0.138 Search.py:136(initialize)
        1    0.001    0.001    0.138    0.138 Algorithm.py:37(initialize)
     1156    0.030    0.000    0.137    0.000 inspect.py:2280(_signature_from_function)
     2398    0.021    0.000    0.137    0.000 _methods.py:126(_clip)
   103506    0.132    0.000    0.135    0.000 {built-in method builtins.getattr}
     6573    0.040    0.000    0.133    0.000 histograms.py:454(_search_sorted_inclusive)
       12    0.000    0.000    0.130    0.011 _docstring.py:51(__missing__)
      278    0.002    0.000    0.127    0.000 sre_compile.py:622(_code)
        3    0.001    0.000    0.126    0.042 core.py:1(<module>)
       30    0.015    0.001    0.122    0.004 __init__.py:831(_rc_params_in_file)
